"","titles","authors","subjects","abstracts","metadata"
"116","auxiliary learning as a step towards artificial general intelligence","christeen t. jose","artificial intelligence (cs.ai)","auxiliary learning is a machine learning approach in which the model acknowledges the existence of objects that do not come under any of its learned categories.the name auxiliary learning was chosen due to the introduction of an auxiliary class. the paper focuses on increasing the generality of existing narrow purpose neural networks and also highlights the need to handle unknown objects. the cat & dog binary classifier is taken as an example throughout the paper.","wed, 30 nov 2022 19:04:50 utc (47 kb)"
"117","extreme nature of four blue-excess dust-obscured galaxies revealed by optical spectroscopy","akatoki noboriguchi, tohru nagao, yoshiki toba, kohei ichikawa, masaru kajisawa, nanako kato, toshihiro kawaguchi, hideo matsuhara, yoshiki matsuoka, kyoko onishi, masafusa onoue, nozomu tamada, koki terao, yuichi terashima, yoshihiro ueda, takuji yamashita","astrophysics of galaxies (astro-ph.ga)","we report optical spectroscopic observations of four blue-excess dust-obscured galaxies (bludogs) identified by subaru hyper suprime-cam. bludogs are a sub-class of dust-obscured galaxies (dogs, defined with the extremely red color $(i-[22])_{\rm ab} \geq 7.0$; toba et al. 2015), showing a significant flux excess in the optical $g$- and $r$-bands over the power-law fits to the fluxes at the longer wavelengths. noboriguchi et al. (2019) has suggested that bludogs may correspond to the blowing-out phase involved in a gas-rich major merger scenario. however the detailed properties of bludogs are not understood because of the lack of spectroscopic information. in this work, we carry out deep optical spectroscopic observations of four bludogs using subaru/focas and vlt/fors2. the obtained spectra show broad emission lines with extremely large equivalent widths, and a blue wing in the civ line profile. the redshifts are between 2.2 and 3.3. the averaged rest-frame equivalent widths of the civ lines are $160\pm33$ $\mathrm{\mathring{a}}$, $\sim$7 times higher than the average of a typical type-1 quasar. the fwhms of their velocity profiles are between 1990 and 4470 ${\rm km\ s^{-1}}$, and their asymmetric parameters are 0.05 and 0.25. such strong civ lines significantly affect the broad-band magnitudes, which is partly the origin of the blue excess seen in the spectral energy distribution of bludogs. their estimated supermassive black hole masses are $1.1\times10^8 < m_{\rm bh}/m_\odot < 5.5 \times 10^8$. the inferred eddington ratios of the bludogs are higher than 1 ($1.1< \lambda_{\rm edd} < 3.8$), suggesting that the bludogs are in a rapidly evolving phase of supermassive black holes.","wed, 30 nov 2022 05:31:16 utc (1,525 kb)"
"118","data augmentation vision transformer for fine-grained image classification","chao hu, liqiang zhu, weibin qiu, weijie wu","computer vision and pattern recognition (cs.cv)","recently, the vision transformer (vit) has made breakthroughs in image recognition. its self-attention mechanism (msa) can extract discriminative labeling information of different pixel blocks to improve image classification accuracy. however, the classification marks in their deep layers tend to ignore local features between layers. in addition, the embedding layer will be fixed-size pixel blocks. input network inevitably introduces additional image noise. to this end, we study a data augmentation vision transformer (davt) based on data augmentation and proposes a data augmentation method for attention cropping, which uses attention weights as the guide to crop images and improve the ability of the network to learn critical features. secondly, we also propose a hierarchical attention selection (has) method, which improves the ability of discriminative markers between levels of learning by filtering and fusing labels between levels. experimental results show that the accuracy of this method on the two general datasets, cub-200-2011, and stanford dogs, is better than the existing mainstream methods, and its accuracy is 1.4\% and 1.6\% higher than the original vit, respectively","wed, 23 nov 2022 11:34:11 utc (3,347 kb)[v2] thu, 24 nov 2022 08:40:56 utc (3,347 kb)"
"119","detect only what you specify : object detection with linguistic target","moyuru yamada","computer vision and pattern recognition (cs.cv)","object detection is a computer vision task of predicting a set of bounding boxes and category labels for each object of interest in a given image. the category is related to a linguistic symbol such as 'dog' or 'person' and there should be relationships among them. however the object detector only learns to classify the categories and does not treat them as the linguistic symbols. multi-modal models often use the pre-trained object detector to extract object features from the image, but the models are separated from the detector and the extracted visual features does not change with their linguistic input. we rethink the object detection as a vision-and-language reasoning task. we then propose targeted detection task, where detection targets are given by a natural language and the goal of the task is to detect only all the target objects in a given image. there are no detection if the target is not given. commonly used modern object detectors have many hand-designed components like anchor and it is difficult to fuse the textual inputs into the complex pipeline. we thus propose language-targeted detector (ltd) for the targeted detection based on a recently proposed transformer-based detector. ltd is a encoder-decoder architecture and our conditional decoder allows the model to reason about the encoded image with the textual input as the linguistic context. we evaluate detection performances of ltd on coco object detection dataset and also show that our model improves the detection results with the textual input grounding to the visual object.","fri, 18 nov 2022 07:28:47 utc (1,880 kb)"
"120","c3: cross-instance guided contrastive clustering","mohammadreza sadeghi, hadi hojjati, narges armanfard","machine learning (cs.lg)","clustering is the task of gathering similar data samples into clusters without using any predefined labels. it has been widely studied in machine learning literature, and recent advancements in deep learning have revived interest in this field. contrastive clustering (cc) models are a staple of deep clustering in which positive and negative pairs of each data instance are generated through data augmentation. cc models aim to learn a feature space where instance-level and cluster-level representations of positive pairs are grouped together. despite improving the sota, these algorithms ignore the cross-instance patterns, which carry essential information for improving clustering performance. this increases the false-negative-pair rate of the model while decreasing its true-positive-pair rate. in this paper, we propose a novel contrastive clustering method, cross-instance guided contrastive clustering (c3), that considers the cross-sample relationships to increase the number of positive pairs and mitigate the impact of false negative, noise, and anomaly sample on the learned representation of data. in particular, we define a new loss function that identifies similar instances using the instance-level representation and encourages them to aggregate together. moreover, we propose a novel weighting method to select negative samples in a more efficient way. extensive experimental evaluations show that our proposed method can outperform state-of-the-art algorithms on benchmark computer vision datasets: we improve the clustering accuracy by 6.6%, 3.3%, 5.0%, 1.3% and 0.3% on cifar-10, cifar-100, imagenet-10, imagenet-dogs, and tiny-imagenet.","mon, 14 nov 2022 06:28:07 utc (1,123 kb)[v2] mon, 21 nov 2022 22:39:07 utc (1,124 kb)[v3] fri, 21 jul 2023 21:49:20 utc (22,445 kb)[v4] fri, 1 sep 2023 04:27:44 utc (22,445 kb)"
"121","elliptically-contoured tensor-variate distributions with application to improved image learning","carlos llosa-vite, ranjan maitra","methodology (stat.me)","statistical analysis of tensor-valued data has largely used the tensor-variate normal (tvn) distribution that may be inadequate when data comes from distributions with heavier or lighter tails. we study a general family of elliptically contoured (ec) tensor-variate distributions and derive its characterizations, moments, marginal and conditional distributions, and the ec wishart distribution. we describe procedures for maximum likelihood estimation from data that are (1) uncorrelated draws from an ec distribution, (2) from a scale mixture of the tvn distribution, and (3) from an underlying but unknown ec distribution, where we extend tyler's robust estimator. a detailed simulation study highlights the benefits of choosing an ec distribution over the tvn for heavier-tailed data. we develop tensor-variate classification rules using discriminant analysis and ec errors and show that they better predict cats and dogs from images in the animal faces-hq dataset than the tvn-based rules. a novel tensor-on-tensor regression and tensor-variate analysis of variance (tanova) framework under ec errors is also demonstrated to better characterize gender, age and ethnic origin than the usual tvn-based tanova in the celebrated labeled faces of the wild dataset.","sun, 13 nov 2022 16:20:47 utc (5,635 kb)"
"122","spontaneous stable rotation of flocking flexible active matter","gaoxiao jiang, zhihong you, rui ma, chen-xu wu","soft condensed matter (cond-mat.soft)","in nature, active matter, such as worms or dogs, tend to spontaneously form a stable rotational cluster when they flock to the same food source on an unregulated and unconfined surface. {in this paper we present an $n$-node flexible active matter model to study the collective motion due to the flocking of individual agents on a two-dimensional surface, and confirm that there exists a spontaneous stable cluster rotation synchronizing with a chirality produced by the alignment of their bodies under the impetus of the active force.} a prefactor of 1.86 is obtained for the linear relationship between normalized angular velocity and chirality. the angular velocity of such a rotation is found to be dependent on the individual flexibility, the number of nodes in each individual, and the magnitude of the active force. the conclusions well explain the spontaneous stable rotation of clusters that exists in many flexible active matter, like worms or {dogs}, when they flock to the same single source.","thu, 10 nov 2022 04:31:53 utc (7,461 kb)[v2] wed, 16 aug 2023 20:16:01 utc (2,203 kb)"
"123","common pets in 3d: dynamic new-view synthesis of real-life deformable categories","samarth sinha, roman shapovalov, jeremy reizenstein, ignacio rocco, natalia neverova, andrea vedaldi, david novotny","computer vision and pattern recognition (cs.cv)","obtaining photorealistic reconstructions of objects from sparse views is inherently ambiguous and can only be achieved by learning suitable reconstruction priors. earlier works on sparse rigid object reconstruction successfully learned such priors from large datasets such as co3d. in this paper, we extend this approach to dynamic objects. we use cats and dogs as a representative example and introduce common pets in 3d (cop3d), a collection of crowd-sourced videos showing around 4,200 distinct pets. cop3d is one of the first large-scale datasets for benchmarking non-rigid 3d reconstruction ""in the wild"". we also propose tracker-nerf, a method for learning 4d reconstruction from our dataset. at test time, given a small number of video frames of an unseen object, tracker-nerf predicts the trajectories of its 3d points and generates new views, interpolating viewpoint and time. results on cop3d reveal significantly better non-rigid new-view synthesis performance than existing baselines.","mon, 7 nov 2022 22:42:42 utc (9,638 kb)"
"124","contact-free simultaneous sensing of human heart rate and canine breathing rate for animal assisted interactions","timothy holder, mushfiqur rahman, emily summers, david roberts, chau-wai wong, alper bozkurt","signal processing (eess.sp)","animal assisted interventions (aais) involve pleasant interactions between humans and animals and can potentially benefit both types of participants. research in this field may help to uncover universal insights about cross-species bonding, dynamic affect detection, and the influence of environmental factors on dyadic interactions. however, experiments evaluating these outcomes are limited to methodologies that are qualitative, subjective, and cumbersome due to the ergonomic challenges related to attaching sensors to the body. current approaches in aais also face challenges when translating beyond controlled clinical environments or research contexts. these also often neglect the measurements from the animal throughout the interaction. here, we present our preliminary effort toward a contact-free approach to facilitate aai assessment via the physiological sensing of humans and canines using consumer-grade cameras. this initial effort focuses on verifying the technological feasibility of remotely sensing the heart rate signal of the human subject and the breathing rate signal of the dog subject while they are interacting. small amounts of motion such as patting and involuntary body shaking or movement can be tolerated with our custom designed vision-based algorithms. the experimental results show that the physiological measurements obtained by our algorithms were consistent with those provided by the standard reference devices. with further validation and expansion to other physiological parameters, the presented approach offers great promise for many scenarios from the aai research space to veterinary, surgical, and clinical applications.","mon, 7 nov 2022 15:47:31 utc (1,266 kb)[v2] fri, 11 nov 2022 20:03:05 utc (1,266 kb)"
"125","on the informativeness of supervision signals","ilia sucholutsky, ruairidh m. battleday, katherine m. collins, raja marjieh, joshua c. peterson, pulkit singh, umang bhatt, nori jacoby, adrian weller, thomas l. griffiths","machine learning (cs.lg)","supervised learning typically focuses on learning transferable representations from training examples annotated by humans. while rich annotations (like soft labels) carry more information than sparse annotations (like hard labels), they are also more expensive to collect. for example, while hard labels only provide information about the closest class an object belongs to (e.g., ""this is a dog""), soft labels provide information about the object's relationship with multiple classes (e.g., ""this is most likely a dog, but it could also be a wolf or a coyote""). we use information theory to compare how a number of commonly-used supervision signals contribute to representation-learning performance, as well as how their capacity is affected by factors such as the number of labels, classes, dimensions, and noise. our framework provides theoretical justification for using hard labels in the big-data regime, but richer supervision signals for few-shot learning and out-of-distribution generalization. we validate these results empirically in a series of experiments with over 1 million crowdsourced image annotations and conduct a cost-benefit analysis to establish a tradeoff curve that enables users to optimize the cost of supervising representation learning on their own datasets.","wed, 2 nov 2022 18:02:31 utc (2,674 kb)[v2] thu, 22 jun 2023 19:04:25 utc (8,470 kb)[v3] tue, 4 jul 2023 15:25:05 utc (8,470 kb)"
"126","multi-vector retrieval as sparse alignment","yujie qian, jinhyuk lee, sai meher karthik duddu, zhuyun dai, siddhartha brahma, iftekhar naim, tao lei, vincent y. zhao","computation and language (cs.cl)","multi-vector retrieval models improve over single-vector dual encoders on many information retrieval tasks. in this paper, we cast the multi-vector retrieval problem as sparse alignment between query and document tokens. we propose aligner, a novel multi-vector retrieval model that learns sparsified pairwise alignments between query and document tokens (e.g. `dog' vs. `puppy') and per-token unary saliences reflecting their relative importance for retrieval. we show that controlling the sparsity of pairwise token alignments often brings significant performance gains. while most factoid questions focusing on a specific part of a document require a smaller number of alignments, others requiring a broader understanding of a document favor a larger number of alignments. unary saliences, on the other hand, decide whether a token ever needs to be aligned with others for retrieval (e.g. `kind' from `kind of currency is used in new zealand}'). with sparsified unary saliences, we are able to prune a large number of query and document token vectors and improve the efficiency of multi-vector retrieval. we learn the sparse unary saliences with entropy-regularized linear programming, which outperforms other methods to achieve sparsity. in a zero-shot setting, aligner scores 51.1 points ndcg@10, achieving a new retriever-only state-of-the-art on 13 tasks in the beir benchmark. in addition, adapting pairwise alignments with a few examples (<= 8) further improves the performance up to 15.7 points ndcg@10 for argument retrieval tasks. the unary saliences of aligner helps us to keep only 20% of the document token representations with minimal performance loss. we further show that our model often produces interpretable alignments and significantly improves its performance when initialized from larger language models.","wed, 2 nov 2022 16:49:58 utc (696 kb)"
"127","system configuration and navigation of a guide dog robot: toward animal guide dog-level guiding work","hochul hwang, tim xia, ibrahima keita, ken suzuki, joydeep biswas, sunghoon i. lee, donghyun kim","robotics (cs.ro)","a robot guide dog has compelling advantages over animal guide dogs for its cost-effectiveness, potential for mass production, and low maintenance burden. however, despite the long history of guide dog robot research, previous studies were conducted with little or no consideration of how the guide dog handler and the guide dog work as a team for navigation. to develop a robotic guiding system that is genuinely beneficial to blind or visually impaired individuals, we performed qualitative research, including interviews with guide dog handlers and trainers and first-hand blindfold walking experiences with various guide dogs. grounded on the facts learned from vivid experience and interviews, we build a collaborative indoor navigation scheme for a guide dog robot that includes preferred features such as speed and directional control. for collaborative navigation, we propose a semantic-aware local path planner that enables safe and efficient guiding work by utilizing semantic information about the environment and considering the handler's position and directional cues to determine the collision-free path. we evaluate our integrated robotic system by testing guide blindfold walking in indoor settings and demonstrate guide dog-like navigation behavior by avoiding obstacles at typical gait speed ($0.7 \mathrm{m/s}$).","mon, 24 oct 2022 16:11:20 utc (17,442 kb)"
"128","modeling human observer detection in undersampled magnetic resonance imaging (mri) reconstruction with total variation and wavelet sparsity regularization","alexandra g. o'neill (1), emely l. valdez (1), sajan goud lingala (2), angel r. pineda (1) ((1) manhattan college, department of mathematics, the bronx, ny, usa (2) university of iowa, roy j. carver department of biomedical engineering, iowa city, ia, usa)","medical physics (physics.med-ph)","purpose: task-based assessment of image quality in undersampled magnetic resonance imaging provides a way of evaluating the impact of regularization on task performance. in this work, we evaluated the effect of total variation (tv) and wavelet regularization on human detection of signals with a varying background and validated a model observer in predicting human performance. approach: human observer studies used two-alternative forced choice (2-afc) trials with a small signal known exactly task but with varying backgrounds for fluid-attenuated inversion recovery images reconstructed from undersampled multi-coil data. we used a 3.48 undersampling factor with tv and a wavelet sparsity constraints. the sparse difference-of-gaussians (s-dog) observer with internal noise was used to model human observer detection. results: we observed a trend that the human observer detection performance remained fairly constant for a broad range of values in the regularization parameter before decreasing at large values. a similar result was found for the normalized ensemble root mean squared error. without changing the internal noise, the model observer tracked the performance of the human observers as the regularization was increased but overestimated the pc for large amounts of regularization for tv and wavelet sparsity, as well as the combination of both parameters. conclusions: for the task we studied, the s-dog observer was able to reasonably predict human performance with both tv and wavelet sparsity regularizers over a broad range of regularization parameters. we observed a trend that task performance remained fairly constant for a range of regularization parameters before decreasing for large amounts of regularization.","fri, 21 oct 2022 13:41:42 utc (859 kb)[v2] fri, 10 mar 2023 16:01:09 utc (4,004 kb)"
"129","learning attention propagation for compositional zero-shot learning","muhammad gul zain ali khan, muhammad ferjad naeem, luc van gool, alain pagani, didier stricker, muhammad zeshan afzal","computer vision and pattern recognition (cs.cv)","compositional zero-shot learning aims to recognize unseen compositions of seen visual primitives of object classes and their states. while all primitives (states and objects) are observable during training in some combination, their complex interaction makes this task especially hard. for example, wet changes the visual appearance of a dog very differently from a bicycle. furthermore, we argue that relationships between compositions go beyond shared states or objects. a cluttered office can contain a busy table; even though these compositions don't share a state or object, the presence of a busy table can guide the presence of a cluttered office. we propose a novel method called compositional attention propagated embedding (cape) as a solution. the key intuition to our method is that a rich dependency structure exists between compositions arising from complex interactions of primitives in addition to other dependencies between compositions. cape learns to identify this structure and propagates knowledge between them to learn class embedding for all seen and unseen compositions. in the challenging generalized compositional zero-shot setting, we show that our method outperforms previous baselines to set a new state-of-the-art on three publicly available benchmarks.","thu, 20 oct 2022 19:44:11 utc (3,369 kb)"
"130","diffusion models already have a semantic latent space","mingi kwon, jaeseok jeong, youngjung uh","computer vision and pattern recognition (cs.cv)","diffusion models achieve outstanding generative performance in various domains. despite their great success, they lack semantic latent space which is essential for controlling the generative process. to address the problem, we propose asymmetric reverse process (asyrp) which discovers the semantic latent space in frozen pretrained diffusion models. our semantic latent space, named h-space, has nice properties for accommodating semantic image manipulation: homogeneity, linearity, robustness, and consistency across timesteps. in addition, we introduce a principled design of the generative process for versatile editing and quality boost ing by quantifiable measures: editing strength of an interval and quality deficiency at a timestep. our method is applicable to various architectures (ddpm++, id- dpm, and adm) and datasets (celeba-hq, afhq-dog, lsun-church, lsun- bedroom, and metfaces). project page: this https url","thu, 20 oct 2022 02:07:23 utc (14,836 kb)[v2] wed, 29 mar 2023 06:39:50 utc (37,495 kb)"
"131","helpful neighbors: leveraging neighbors in geographic feature pronunciation","llion jones, richard sproat, haruko ishikawa, alexander gutkin","computation and language (cs.cl)","if one sees the place name houston mercer dog run in new york, how does one know how to pronounce it? assuming one knows that houston in new york is pronounced ""how-ston"" and not like the texas city, then one can probably guess that ""how-ston"" is also used in the name of the dog park. we present a novel architecture that learns to use the pronunciations of neighboring names in order to guess the pronunciation of a given target feature. applied to japanese place names, we demonstrate the utility of the model to finding and proposing corrections for errors in google maps. to demonstrate the utility of this approach to structurally similar problems, we also report on an application to a totally different task: cognate reflex prediction in comparative historical linguistics. a version of the code has been open-sourced (this https url).","tue, 18 oct 2022 22:55:16 utc (3,332 kb)"
"132","the tail wagging the dog: dataset construction biases of social bias benchmarks","nikil roashan selvam, sunipa dev, daniel khashabi, tushar khot, kai-wei chang","computation and language (cs.cl)","how reliably can we trust the scores obtained from social bias benchmarks as faithful indicators of problematic social biases in a given language model? in this work, we study this question by contrasting social biases with non-social biases stemming from choices made during dataset construction that might not even be discernible to the human eye. to do so, we empirically simulate various alternative constructions for a given benchmark based on innocuous modifications (such as paraphrasing or random-sampling) that maintain the essence of their social bias. on two well-known social bias benchmarks (winogender and biasnli) we observe that these shallow modifications have a surprising effect on the resulting degree of bias across various models. we hope these troubling observations motivate more robust measures of social biases.","tue, 18 oct 2022 17:58:39 utc (12,248 kb)[v2] fri, 16 jun 2023 18:35:13 utc (6,117 kb)"
"133","imagic: text-based real image editing with diffusion models","bahjat kawar, shiran zada, oran lang, omer tov, huiwen chang, tali dekel, inbar mosseri, michal irani","computer vision and pattern recognition (cs.cv)","text-conditioned image editing has recently attracted considerable interest. however, most methods are currently either limited to specific editing types (e.g., object overlay, style transfer), or apply to synthetically generated images, or require multiple input images of a common object. in this paper we demonstrate, for the very first time, the ability to apply complex (e.g., non-rigid) text-guided semantic edits to a single real image. for example, we can change the posture and composition of one or multiple objects inside an image, while preserving its original characteristics. our method can make a standing dog sit down or jump, cause a bird to spread its wings, etc. -- each within its single high-resolution natural image provided by the user. contrary to previous work, our proposed method requires only a single input image and a target text (the desired edit). it operates on real images, and does not require any additional inputs (such as image masks or additional views of the object). our method, which we call ""imagic"", leverages a pre-trained text-to-image diffusion model for this task. it produces a text embedding that aligns with both the input image and the target text, while fine-tuning the diffusion model to capture the image-specific appearance. we demonstrate the quality and versatility of our method on numerous inputs from various domains, showcasing a plethora of high quality complex semantic image edits, all within a single unified framework.","mon, 17 oct 2022 17:27:32 utc (14,421 kb)[v2] tue, 22 nov 2022 17:34:23 utc (38,610 kb)[v3] mon, 20 mar 2023 15:58:50 utc (27,583 kb)"
"134","can quadruped navigation robots be used as guide dogs?","luyao wang, qihe chen, yan zhang, ziang li, tingmin yan, fan wang, guyue zhou, jiangtao gong","human-computer interaction (cs.hc)","quadruped robots have the potential to guide blind and low vision (blv) people due to their highly flexible locomotion and emotional value provided by their bionic forms. however, the development of quadruped guide robots rarely involves blv users' participatory designs and evaluations. in this paper, we conducted two empirical experiments both in indoor controlled and outdoor field scenarios, exploring the benefits and drawbacks of quadruped guide robots. the results show that the nowadays commercial quadruped robots exposed significant disadvantages in usability and trust compared with wheeled robots. it is concluded that the moving gait and walking noise of quadruped robots would limit the guiding effectiveness to a certain extent, and the empathetic effect of its bionic form for blv users could not be fully reflected. based on the findings of wheeled robots and quadruped robots' advantages, we discuss the design implications for the future guide robot design for blv users. this paper reports the first empirical experiment about quadruped guide robots with blv users and preliminary explores their potential improvement space in substituting guide dogs, which can inspire the further specialized design of quadruped guide robots.","mon, 17 oct 2022 03:44:30 utc (6,921 kb)[v2] tue, 18 oct 2022 07:42:43 utc (6,921 kb)[v3] sat, 24 jun 2023 03:54:36 utc (9,619 kb)"
"135","harfang3d dog-fight sandbox: a reinforcement learning research platform for the customized control tasks of fighter aircrafts","muhammed murat özbek, süleyman yıldırım, muhammet aksoy, eric kernin, emre koyuncu","robotics (cs.ro)","the advent of deep learning (dl) gave rise to significant breakthroughs in reinforcement learning (rl) research. deep reinforcement learning (drl) algorithms have reached super-human level skills when applied to vision-based control problems as such in atari 2600 games where environment states were extracted from pixel information. unfortunately, these environments are far from being applicable to highly dynamic and complex real-world tasks as in autonomous control of a fighter aircraft since these environments only involve 2d representation of a visual world. here, we present a semi-realistic flight simulation environment harfang3d dog-fight sandbox for fighter aircrafts. it is aimed to be a flexible toolbox for the investigation of main challenges in aviation studies using reinforcement learning. the program provides easy access to flight dynamics model, environment states, and aerodynamics of the plane enabling user to customize any specific task in order to build intelligent decision making (control) systems via rl. the software also allows deployment of bot aircrafts and development of multi-agent tasks. this way, multiple groups of aircrafts can be configured to be competitive or cooperative agents to perform complicated tasks including dog fight. during the experiments, we carried out training for two different scenarios: navigating to a designated location and within visual range (wvr) combat, shortly dog fight. using deep reinforcement learning techniques for both scenarios, we were able to train competent agents that exhibit human-like behaviours. based on this results, it is confirmed that harfang3d dog-fight sandbox can be utilized as a 3d realistic rl research platform.","thu, 13 oct 2022 18:18:09 utc (13,737 kb)"
"136","continual learning with evolving class ontologies","zhiqiu lin, deepak pathak, yu-xiong wang, deva ramanan, shu kong","computer vision and pattern recognition (cs.cv)","lifelong learners must recognize concept vocabularies that evolve over time. a common yet underexplored scenario is learning with class labels that continually refine/expand old classes. for example, humans learn to recognize ${\tt dog}$ before dog breeds. in practical settings, dataset $\textit{versioning}$ often introduces refinement to ontologies, such as autonomous vehicle benchmarks that refine a previous ${\tt vehicle}$ class into ${\tt school-bus}$ as autonomous operations expand to new cities. this paper formalizes a protocol for studying the problem of $\textit{learning with evolving class ontology}$ (leco). leco requires learning classifiers in distinct time periods (tps); each tp introduces a new ontology of ""fine"" labels that refines old ontologies of ""coarse"" labels (e.g., dog breeds that refine the previous ${\tt dog}$). leco explores such questions as whether to annotate new data or relabel the old, how to leverage coarse labels, and whether to finetune the previous tp's model or train from scratch. to answer these questions, we leverage insights from related problems such as class-incremental learning. we validate them under the leco protocol through the lens of image classification (cifar and inaturalist) and semantic segmentation (mapillary). our experiments lead to surprising conclusions; while the current status quo is to relabel existing datasets with new ontologies (such as coco-to-lvis or mapillary1.2-to-2.0), leco demonstrates that a far better strategy is to annotate $\textit{new}$ data with the new ontology. however, this produces an aggregate dataset with inconsistent old-vs-new labels, complicating learning. to address this challenge, we adopt methods from semi-supervised and partial-label learning. such strategies can surprisingly be made near-optimal, approaching an ""oracle"" that learns on the aggregate dataset exhaustively labeled with the newest ontology.","mon, 10 oct 2022 19:58:23 utc (3,207 kb)[v2] wed, 12 oct 2022 04:05:37 utc (3,197 kb)[v3] sun, 27 nov 2022 21:58:45 utc (3,197 kb)[v4] thu, 15 dec 2022 02:33:40 utc (3,197 kb)"
"137","an action is worth multiple words: handling ambiguity in action recognition","kiyoon kim, davide moltisanti, oisin mac aodha, laura sevilla-lara","computer vision and pattern recognition (cs.cv)","precisely naming the action depicted in a video can be a challenging and oftentimes ambiguous task. in contrast to object instances represented as nouns (e.g. dog, cat, chair, etc.), in the case of actions, human annotators typically lack a consensus as to what constitutes a specific action (e.g. jogging versus running). in practice, a given video can contain multiple valid positive annotations for the same action. as a result, video datasets often contain significant levels of label noise and overlap between the atomic action classes. in this work, we address the challenge of training multi-label action recognition models from only single positive training labels. we propose two approaches that are based on generating pseudo training examples sampled from similar instances within the train set. unlike other approaches that use model-derived pseudo-labels, our pseudo-labels come from human annotations and are selected based on feature similarity. to validate our approaches, we create a new evaluation benchmark by manually annotating a subset of epic-kitchens-100's validation set with multiple verb labels. we present results on this new test set along with additional results on a new version of hmdb-51, called confusing-hmdb-102, where we outperform existing methods in both cases. data and code are available at this https url","mon, 10 oct 2022 18:06:43 utc (15,350 kb)"
"138","comps: conceptual minimal pair sentences for testing robust property knowledge and its inheritance in pre-trained language models","kanishka misra, julia taylor rayz, allyson ettinger","computation and language (cs.cl)","a characteristic feature of human semantic cognition is its ability to not only store and retrieve the properties of concepts observed through experience, but to also facilitate the inheritance of properties (can breathe) from superordinate concepts (animal) to their subordinates (dog) -- i.e. demonstrate property inheritance. in this paper, we present comps, a collection of minimal pair sentences that jointly tests pre-trained language models (plms) on their ability to attribute properties to concepts and their ability to demonstrate property inheritance behavior. analyses of 22 different plms on comps reveal that they can easily distinguish between concepts on the basis of a property when they are trivially different, but find it relatively difficult when concepts are related on the basis of nuanced knowledge representations. furthermore, we find that plms can demonstrate behavior consistent with property inheritance to a great extent, but fail in the presence of distracting information, which decreases the performance of many models, sometimes even below chance. this lack of robustness in demonstrating simple reasoning raises important questions about plms' capacity to make correct inferences even when they appear to possess the prerequisite knowledge.","wed, 5 oct 2022 00:04:18 utc (1,207 kb)[v2] thu, 6 oct 2022 14:10:29 utc (1,208 kb)[v3] fri, 14 oct 2022 01:57:57 utc (1,208 kb)[v4] thu, 9 feb 2023 02:31:06 utc (835 kb)"
"139","re-imagen: retrieval-augmented text-to-image generator","wenhu chen, hexiang hu, chitwan saharia, william w. cohen","computer vision and pattern recognition (cs.cv)","research on text-to-image generation has witnessed significant progress in generating diverse and photo-realistic images, driven by diffusion and auto-regressive models trained on large-scale image-text data. though state-of-the-art models can generate high-quality images of common entities, they often have difficulty generating images of uncommon entities, such as `chortai (dog)' or `picarones (food)'. to tackle this issue, we present the retrieval-augmented text-to-image generator (re-imagen), a generative model that uses retrieved information to produce high-fidelity and faithful images, even for rare or unseen entities. given a text prompt, re-imagen accesses an external multi-modal knowledge base to retrieve relevant (image, text) pairs and uses them as references to generate the image. with this retrieval step, re-imagen is augmented with the knowledge of high-level semantics and low-level visual details of the mentioned entities, and thus improves its accuracy in generating the entities' visual appearances. we train re-imagen on a constructed dataset containing (image, text, retrieval) triples to teach the model to ground on both text prompt and retrieval. furthermore, we develop a new sampling strategy to interleave the classifier-free guidance for text and retrieval conditions to balance the text and retrieval alignment. re-imagen achieves significant gain on fid score over coco and wikiimage. to further evaluate the capabilities of the model, we introduce entitydrawbench, a new benchmark that evaluates image generation for diverse entities, from frequent to rare, across multiple object categories including dogs, foods, landmarks, birds, and characters. human evaluation on entitydrawbench shows that re-imagen can significantly improve the fidelity of generated images, especially on less frequent entities.","thu, 29 sep 2022 00:57:28 utc (12,075 kb)[v2] sat, 1 oct 2022 15:14:14 utc (16,666 kb)[v3] tue, 22 nov 2022 02:09:38 utc (30,153 kb)"
"140","video-based estimation of pain indicators in dogs","hongyi zhu, yasemin salgırlı, pınar can, durmuş atılgan, albert ali salah","computer vision and pattern recognition (cs.cv)","dog owners are typically capable of recognizing behavioral cues that reveal subjective states of their dogs, such as pain. but automatic recognition of the pain state is very challenging. this paper proposes a novel video-based, two-stream deep neural network approach for this problem. we extract and preprocess body keypoints, and compute features from both keypoints and the rgb representation over the video. we propose an approach to deal with self-occlusions and missing keypoints. we also present a unique video-based dog behavior dataset, collected by veterinary professionals, and annotated for presence of pain, and report good classification results with the proposed approach. this study is one of the first works on machine learning based estimation of dog pain state.","tue, 27 sep 2022 10:38:59 utc (3,596 kb)[v2] sat, 26 nov 2022 15:48:32 utc (3,597 kb)"
